2023-03-07 15:52:56.056 [info] Log level: Info
2023-03-07 15:52:56.056 [info] Validating found git in: "git"
2023-03-07 15:52:56.056 [info] Using git "2.31.1" from "git"
2023-03-07 15:52:56.056 [info] > git rev-parse --show-toplevel [4ms]
2023-03-07 15:52:56.056 [info] > git rev-parse --git-dir --git-common-dir [2ms]
2023-03-07 15:52:56.056 [info] Open repository: /data/home/csmajs/txia024
2023-03-07 15:52:56.056 [info] > git rev-parse --show-toplevel [6ms]
2023-03-07 15:52:56.056 [info] > git config --get commit.template [9ms]
2023-03-07 15:52:56.056 [info] > git rev-parse --show-toplevel [84ms]
2023-03-07 15:52:56.056 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [7ms]
2023-03-07 15:52:56.056 [info] > git rev-parse --show-toplevel [12ms]
2023-03-07 15:52:56.057 [info] > git for-each-ref --sort -committerdate --format %(refname) %(objectname) %(*objectname) [5ms]
2023-03-07 15:52:56.057 [info] > git rev-parse --show-toplevel [3ms]
2023-03-07 15:52:56.057 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 15:52:56.057 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 15:52:56.057 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 15:52:56.057 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 15:52:56.057 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 15:52:56.078 [info] > git rev-parse --show-toplevel [22ms]
2023-03-07 15:52:56.085 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 15:52:56.092 [info] > git rev-parse --show-toplevel [3ms]
2023-03-07 15:52:56.097 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 15:52:56.102 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 15:52:56.107 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 15:52:56.116 [info] > git rev-parse --show-toplevel [4ms]
2023-03-07 15:52:56.121 [info] > git rev-parse --show-toplevel [1ms]
2023-03-07 15:52:56.128 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 15:52:56.379 [info] > git status -z -uall [367ms] (cancelled)
2023-03-07 15:52:57.388 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [1003ms]
2023-03-07 15:52:57.389 [info] > git config --get commit.template [1010ms]
2023-03-07 15:52:57.412 [info] > git for-each-ref --sort -committerdate --format %(refname) %(objectname) %(*objectname) [6ms]
2023-03-07 15:52:57.677 [info] > git status -z -uall [279ms] (cancelled)
2023-03-07 15:53:16.862 [info] > git rev-parse --show-toplevel [7ms]
2023-03-07 15:53:18.242 [info] > git rev-parse --show-toplevel [3ms]
2023-03-07 15:53:20.101 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 15:53:30.741 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 16:58:11.163 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 16:58:24.763 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 16:58:48.421 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 16:58:57.835 [info] > git rev-parse --show-toplevel [3ms]
2023-03-07 16:59:00.250 [info] > git rev-parse --show-toplevel [2ms]
2023-03-07 16:59:02.155 [info] > git rev-parse --show-toplevel [1ms]
